Abstract,PMID,Title,term_one,term_two
"Antiseizure drugs (ASDs) are known to cause a wide range of adverse drug reactions (ADRs). Recently, electronic health care data using the common data model (CDM) have been introduced and commonly adopted in pharmacovigilance research. We aimed to analyze ASD-related ADRs using CDM and to assess the feasibility of CDM analysis in monitoring ADR in a single tertiary hospital.",32162687,Analysis of antiseizure drug-related adverse reactions from the electronic health record using the common data model.,1,0
"The results of national safety studies are essential for decision-making at the regulatory level and have also educational implications for prescribing patterns. The aim of this study was to analyze the adverse drug reactions (ADRs) of analgesic medicines spontaneously reported to Pharmacovigilance and Risk Management Service of the Romanian National Agency for Medicines and Medical Devices between 2011 and 2015. For the 71 reports, patients had a mean age of 39.8 years; 60.6% of patients were female, and 38% male and 1.4% were unknown. Reporters were mainly physicians (74.7%), and 52.1% of ADR reports were transmitted through marketing authorization holders. Of the serious ADRs (32.4%), 34.7% led to hospitalization or prolonged hospitalization. The most frequent ADRs reported were skin and subcutaneous tissue disorders (25.8%) and general disorders and administration site conditions (19.2%). Metamizole, alone or in combination, was the main analgesic suspected in almost 15.5% of the cases and remains one of the most popular analgesics in Romania. Ten cases were assessed as preventable or potentially preventable (14%), of which two cases were serious. Even if the level of reporting is still low, this study conducted on ADRs of analgesics reported to the national pharmacovigilance center represents an essential step toward promoting the rational use of analgesics in Romania.",29314262,Adverse drug reactions of analgesic medicines: analysis of the Romanian pharmacovigilance database.,1,0
"The epidemiological data are limited for the spontaneous adverse drug reaction (ADR) reporting system in psychiatry and its comparison with intensive monitoring studies in terms of causative drugs, seriousness, preventability and drug interactions. This spontaneous ADR reporting study was carried out over a period of three years in the psychiatry department. We adopted WHO definition for an ADR, Naranjo's algorithm for causality, WHO-ADR terminology for the labeling of involved organ-system, International conference on harmonisation (ICH) E2A guidelines for seriousness, modified Schumock and Thornton's criteria for preventability and Medscape drug interaction checker for drug interactions. Two subgroup analyses were performed to find out the risk factors for the serious and preventable reactions. A total of 97 ADRs from 67 patients were included for analysis. The incidence of 'overall' and 'serious ADRs were 0.69% (95% CI: 0.54%, 0.88%) and 0.18% (95% CI: 0.12-0.29%), respectively. The females experienced more ADRs than males. The most commonly reported ADR, incriminated pharmacology group and drug, were extrapyramidal movement disorders (22.68%), atypical antipsychotics (35.62%) and escitalopram (13.91%), respectively. One out of five and one out three reactions were considered as 'serious' and 'preventable', respectively. The drug interactions contributed in 34.02% reactions. The factors significantly associated with 'serious' reactions were typical antipsychotics [OR: 5.47 (1.68, 17.87)], central and peripheral nervous system disorders [OR: 24.00 (5.12, 112.5)] and extrapyramidal reactions [OR: 14.03 (4.43, 44.43)]. The polypharmacy [OR: 5.85 (1.90, 18.03)] was significantly associated with 'preventable' reactions. The spontaneous reporting system is efficient to detect serious reactions and preventable reactions. ",26216702,Adverse drug reactions in a psychiatric department of tertiary care teaching hospital in India: Analysis of spontaneously reported cases.,1,0
"Adverse drug reactions (ADRs) are common and important complications of drug therapy for children. The risk for ADRs changes over childhood, as do the nature and types of ADRs. Importantly, the risk and nature of ADRs in children are markedly different from those of adults, and adult data cannot be relied on to guide safe drug therapy in children. There are groups of children, notably those with complex and chronic diseases, who are at substantial risk for ADRs. The evaluation of an undesired effect during therapy is ideally accomplished by an organized approach that is a skill that clinicians who care for children-especially those children at high risk for ADRs must have. Additionally, clinicians as well as drug regulatory agencies and industry need to be both vigilant and astute as well as aware that ADRs in children are often different in nature and frequency from those in adults. The increasing use of pharmacogenomics to guide drug dosing and the increasing number of biological agents will provide new sets of challenges to clinicians over the next decade.",30248196,"Adverse Drug Reactions Across the Age Continuum: Epidemiology, Diagnostic Challenges, Prevention, and Treatments.",1,0
"<b>Objective:</b> Cardiovascular disease (CVD) drugs have been frequently implicated in adverse drug reaction (ADR)-related hospitalizations. Drug-drug interactions (DDIs) are common preventable cause of ADRs, but the impact of DDIs in the CVD population has not been investigated. Hence, the primary aim of the study was to identify DDIs associated with ADRs in CVD patients at hospital admission. The second aim was to develop a simple tool to identify high-risk patients for DDI-related adverse events. <b>Methods:</b> An observational study was conducted on the Cardiology Ward of University Clinical Hospital Center. Data were obtained from medical charts. A clinical panel identified DDIs implicated in ADRs, using LexiInteract database and Drug Interaction Probability Scale. Statistics were performed using PASW 22 (SPSS Inc.). <b>Results:</b> DDIs contributed to hospital admission with a total prevalence of 9.69%. DDI-related ADRs affected mainly cardiac function (heart rate or rhythm, 41.07%); bleeding and effect on blood pressure were equally distributed (17.86%). Non-cardiovascular ADRs were found in 23.21% of DDIs. After admission, 73% of the identified DDIs led to changes in prescription. Prediction ability of calculated DDI adverse event probability scores was rated as good (AUC = 0.80, <i>p</i> < .001). <b>Conclusions:</b> CVD patients are highly exposed to adverse DDIs; about one in ten patients hospitalized with CVD might have a DDI contributing to the hospitalization. Given the high prevalence of CVD, DDI-related harm might be a significant burden worldwide. Identification of patients with high DDI adverse event risk might ease the recognition of DDI-related harm and improve the use of electronic databases in clinical practice.",31328967,Adverse drug reactions caused by drug-drug interactions in cardiovascular disease patients: introduction of a simple prediction tool using electronic screening database items.,1,0
"Asthenia, myalgia, arthralgia, mucositis, abdominal pain, diarrhea, and neutropenia are adverse reactions commonly reported by women undergoing chemotherapy. Traditional approaches do not take into account the effect that chemotherapeutic changes and variable interactions can cause in adverse reactions. We aimed to identify the impact of the change of a chemotherapy protocol within the same treatment in profiles associated with adverse reactions.",31056713,Impact of protocol change on individual factors related to course of adverse reactions to chemotherapy for breast cancer.,1,0
"Our goal was to determine (a) the prevalence of multimorbidity and polypharmacy in patients with cancer and (b) the prevalence, predictability, and preventability of adverse drug reactions (ADRs) causing/contributing to hospitalization.",30833488,"Adverse Drug Reactions in an Oncological Population: Prevalence, Predictability, and Preventability.",1,0
"Hypersensitivity adverse drug reactions (ADRs) are usually serious, unpredictable, and associated with high morbidity and mortality. This study describes cases of hypersensitivity ADRs spontaneously reported in Central Portugal.",32167395,Spontaneous reports of hypersensitivity adverse drug reactions in Portugal: a retrospective analysis.,1,0
"Annually, thousands of individuals die and tens of thousands are hospitalized in association with suspected adverse drug reactions (ADRs) in Canada. We analyzed the reports from the Canada Vigilance Adverse Reaction online database and present a synopsis of the state of ADRs in Canada between 2009 and 2018. Our synopsis includes both cross-sectional and longitudinal insights into ADR demographics, outcomes, associated drugs and disease indications. In closing, we highlight five overarching issues uncovered in our analysis, which have potential implications for future policy formulation. Further in-depth exploration is required to shine some additional light on these issues.",32249738,Adverse Drug Reactions in Canada (2009-2018): Insights from the Canada Vigilance Database.,1,0
"<b>Background</b> There are different treatment options for ocular toxoplasmosis (OT). ""Classic"" therapy consists of pyrimethamine, sulfadiazine and folinic acid combined with systemic steroids and is still widely used. However, potentially severe side effects of this therapy have been reported. The aim of this retrospective study was to evaluate the incidence and types of adverse drug reactions in patients treated for OT. Clinical management of each adverse drug reaction was assessed. <b>Patients and Methods</b> In this retrospective analysis, we reviewed data of patients with OT, who were consecutively examined between December 2011 and December 2015 at the Department of Ophthalmology, University Hospital Zurich. <b>Results</b> In total, 49 patients had at least one episode of active OT. In 54 (83.0 %) of 65 treated episodes, the classic regimen was used. Of the 37 patients who received classic treatment, 9 (24.3 %) developed at least one adverse drug reaction which led to drug discontinuation, including elevated creatinine (5.4 %), elevated liver enzymes (5.4 %), vomiting (5.4 %), rash (5.4 %) and facial swelling (2.7 %). In 5 patients, treatment was switched to another drug, while in the other 4 patients, therapy was stopped. In these 9 patients, inflammation was well controlled 8 weeks after onset of therapy. No patient suffered from severe side effects, such as potentially life-threatening allergic reactions or pancytopenia. <b>Conclusions</b> In OT patients who were treated with classic therapy, adverse drug reactions are common. Therefore, clinical and laboratory monitoring is mandatory. Adverse drug reactions may require interdisciplinary management.",28329892,Ocular Toxoplasmosis: Therapy-Related Adverse Drug Reactions and Their Management.,1,0
